2001-05-05,21:53:29.0,48.71,7.91,5,1.8,unknown,BCSF,,,,,,21:53:29.0,48.71,7.91,5,1.8,21:53:29.0,48.71,7.94,5,1.8,21:53:28.0,48.71,7.93,11,2.1,1.7,2.2
2001-06-24,21:21:57.0,49.38,7,1,1.9,unknown,BCSF,,,,,,21:21:57.0,49.38,7,1,1.9,21:21:57.0,49.38,6.9,1,1.9,21:21:57.0,49.36,6.78,1,2.1,1.8,2.3
2001-08-06,17:12:44.0,49.35,6.94,1,2.6,unknown,BCSF,,,,,,17:12:44.0,49.35,6.94,1,2.6,17:12:44.0,49.34,6.91,1,2.6,17:12:43.0,49.38,6.85,1,2.8,2.3,2.9
2001-09-18,20:09:27.0,49.35,6.94,1,2.4,unknown,BCSF,,,,,,20:09:27.0,49.35,6.94,1,2.4,20:09:27.0,49.35,6.91,1,2.4,20:09:27.0,49.36,6.93,1,2.7,2.2,2.8
2001-09-21,22:50:15.0,49.36,6.95,1,2.3,unknown,BCSF,,,,,,22:50:15.0,49.36,6.95,1,2.3,22:50:15.0,49.37,6.93,1,2.3,22:50:14.0,49.38,6.93,1,2.5,2.1,2.6
2001-10-01,23:43:03.0,49.27,6.68,1,2.4,unknown,BCSF,,,,,,23:43:03.0,49.27,6.68,1,2.4,,,,,,23:43:02.0,49.35,6.87,1,2.4,1.9,2.4
2001-10-29,21:25:13.0,49.28,6.7,1,3.3,unknown,BCSF,,,,,,21:25:13.0,49.28,6.7,1,3.3,,,,,,21:25:12.0,49.34,6.97,1,3.3,2.7,3.3
2001-10-30,17:46:04.0,49.37,6.97,1,2.3,unknown,BCSF,,,,,,17:46:04.0,49.37,6.97,1,2.3,17:46:04.0,49.37,6.9,1,2.3,17:46:04.0,49.34,6.84,1,2.6,2.1,2.7
2001-12-28,16:58:24.0,49.36,6.96,1,2.4,unknown,BCSF,,,,,,16:58:24.0,49.36,6.96,1,2.4,16:58:24.0,49.36,6.89,1,2.4,16:58:24.0,49.38,6.86,1,2.6,2.2,2.7
2002-02-03,09:41:30.0,49.29,6.74,1,2.7,unknown,BCSF,,,,,,09:41:30.0,49.29,6.74,1,2.7,,,,,,09:41:29.0,49.35,6.91,1,2.7,2.2,2.7
2002-02-09,11:06:25.0,49.36,6.96,1,2.5,unknown,BCSF,,,,,,11:06:25.0,49.36,6.96,1,2.5,11:06:25.0,49.35,6.95,1,2.5,11:06:25.0,49.36,6.92,1,2.7,2.2,2.8
2002-02-09,16:15:41.0,49.2,7.01,5,2.5,unknown,BCSF,,,,,,16:15:41.0,49.2,7.01,5,2.5,16:15:41.0,49.19,6.99,1,2.5,16:15:41.0,49.2,6.91,1,2.9,2.3,2.9
2002-02-24,11:47:51.0,49.3,6.71,1,2.7,unknown,BCSF,,,,,,11:47:51.0,49.3,6.71,1,2.7,,,,,,11:47:50.0,49.36,6.91,1,2.7,2.2,2.7
2002-03-16,12:25:39.0,49.3,6.89,1,2.8,unknown,BCSF,,,,,,12:25:39.0,49.3,6.89,1,2.8,,,,,,12:25:38.0,49.36,6.94,1,2.8,2.2,2.8
2002-04-20,18:15:56.0,49.25,6.85,1,2.4,unknown,BCSF,,,,,,18:15:56.0,49.25,6.85,1,2.4,,,,,,18:15:55.0,49.34,6.89,1,2.4,1.9,2.4
2002-04-23,03:53:15.0,48.91,7.12,10,2.2,unknown,BCSF,,,,,,03:53:15.0,48.91,7.12,10,2.2,03:53:15.0,48.91,7.13,18,2.2,03:53:15.0,48.9,7.17,10,2.5,2.0,2.6
2002-04-30,21:54:19.0,49.27,6.69,1,2.3,unknown,BCSF,,,,,,21:54:19.0,49.27,6.69,1,2.3,,,,,,21:54:18.0,49.34,6.78,1,2.3,1.8,2.3
2002-05-01,11:39:13.0,49.27,6.81,1,2.2,unknown,BCSF,,,,,,11:39:13.0,49.27,6.81,1,2.2,,,,,,11:39:12.0,49.37,6.85,1,2.2,1.7,2.2
2002-05-15,19:50:21.0,49.3,6.76,1,2.5,unknown,BCSF,,,,,,19:50:21.0,49.3,6.76,1,2.5,,,,,,19:50:21.0,49.34,6.87,1,2.5,2.0,2.5
2002-06-03,21:44:45.0,49.3,6.64,1,2.1,unknown,BCSF,,,,,,21:44:45.0,49.3,6.64,1,2.1,,,,,,21:44:43.0,49.41,6.72,1,2.1,1.6,2.1
2002-06-03,21:49:24.0,49.29,6.66,1,2,unknown,BCSF,,,,,,21:49:24.0,49.29,6.66,1,2,,,,,,21:49:23.0,49.35,6.68,1,2.0,1.6,2.0
2002-07-24,20:56:20.0,49.26,6.56,1,2.1,unknown,BCSF,,,,,,20:56:20.0,49.26,6.56,1,2.1,,,,,,20:56:17.0,49.41,6.69,5,2.1,1.6,2.1
2002-09-12,22:31:17.0,48.85,6.07,5,2,unknown,BCSF,,,,,,22:31:17.0,48.85,6.07,5,2,,,,,,22:31:16.0,48.89,6.1,10,2.0,1.6,2.0
2002-09-12,22:31:25.0,48.86,6.07,5,2.1,unknown,BCSF,,,,,,22:31:25.0,48.86,6.07,5,2.1,,,,,,22:31:25.0,48.89,6.09,12,2.1,1.6,2.1
2002-09-24,06:42:20.0,48.91,6.08,5,2.1,unknown,BCSF,,,,,,06:42:20.0,48.91,6.08,5,2.1,,,,,,06:42:20.0,48.9,6.08,2,2.1,1.6,2.1
2002-10-31,22:24:39.0,49.06,6.78,1,2,unknown,BCSF,,,,,,22:24:39.0,49.06,6.78,1,2,,,,,,22:24:37.0,49.15,6.83,1,2.0,1.6,2.0
2002-11-06,19:55:57.0,49.09,6.9,1,2.3,unknown,BCSF,,,,,,19:55:57.0,49.09,6.9,1,2.3,,,,,,19:55:57.0,49.11,6.88,1,2.3,1.8,2.3
2002-11-13,17:26:51.0,49.3,6.77,1,2.1,unknown,BCSF,,,,,,17:26:51.0,49.3,6.77,1,2.1,17:26:51.0,49.28,6.81,1,2.1,17:26:50.0,49.34,6.84,1,2.6,2.1,2.6
2002-12-07,06:06:47.0,48.76,6.59,5,2.3,unknown,BCSF,,,,,,06:06:47.0,48.76,6.59,5,2.3,06:06:47.0,48.76,6.6,10,2.3,06:06:47.0,48.77,6.57,9,2.3,2.0,2.5
2002-12-26,06:43:07.0,48.68,5.57,10,2.2,unknown,BCSF,,,,,,06:43:07.0,48.68,5.57,10,2.2,,,,,,06:43:07.0,48.69,5.55,0,2.2,1.7,2.2
2002-12-26,12:39:54.0,48.7,5.8,10,2,unknown,BCSF,,,,,,12:39:54.0,48.7,5.8,10,2,,,,,,12:39:55.0,48.63,5.78,0,2.0,1.6,2.0
2002-12-30,09:46:37.0,48.67,5.7,5,2.2,unknown,BCSF,,,,,,09:46:37.0,48.67,5.7,5,2.2,,,,,,09:46:37.0,48.68,5.67,0,2.2,1.7,2.2
2002-12-30,13:09:58.0,48.69,5.73,10,2.1,unknown,BCSF,,,,,,13:09:58.0,48.69,5.73,10,2.1,,,,,,13:09:57.0,48.77,5.76,0,2.1,1.6,2.1
2002-12-31,08:33:34.0,48.81,5.79,5,2.2,unknown,BCSF,,,,,,08:33:34.0,48.81,5.79,5,2.2,,,,,,08:33:34.0,48.82,5.79,0,2.2,1.7,2.2
2003-02-27,22:56:29.0,49.23,6.67,1,2.1,unknown,BCSF,,,,,,22:56:29.0,49.23,6.67,1,2.1,,,,,,22:56:26.0,49.36,6.77,1,2.1,1.6,2.1
2003-03-11,19:54:35.0,49.07,6.74,1,2.1,unknown,BCSF,,,,,,19:54:35.0,49.07,6.74,1,2.1,,,,,,19:54:34.0,49.14,6.81,1,2.1,1.6,2.1
2003-03-20,21:17:18.0,49.2,7.48,10,1.9,unknown,BCSF,,,,,,21:17:18.0,49.2,7.48,10,1.9,21:17:17.0,49.21,7.54,5,1.9,21:17:18.0,49.17,6.83,1,2.2,1.8,2.3
