Identifiant	Nom	N° Siret	Département	CP	Commune	N° Gidic	X-Lambert-93	Y-Lambert-93	Année début	Année fin	Activité	Raison sociale	Date fin arrêté	Substance	Année1	Année2	Explosifs
72170	Contrée des Roches		03	03038	BRANSAT	056.00487	717177.97	6580349.94	1998	2023	Oui	CONCASSAGE EXTRACT RECYCL FOURNITURES	16 01 2023	Leptynite	1998	2023	
72171	Puy Blanc		19	19163	LE PESCHER	060.00085	603491.95	6444482.29	1974	2034	Oui	AMENAGEMENTS TRAVAUX SERVICES SOURZAT GABRIEL ROUSSIE ANDRE	13 08 2034	Gneiss	1974	2033	
72173	Les Rocs		03	03046	BUXIERES-LES-MINES	056.00489	698722.25	6595549.15	1992	2012	Oui	CONCASSAGE EXTRACT RECYCL FOURNITURES TRANSPAUMANCE	23 04 2012	Migmatite	1992	2012	
72175	Bruyères de Chenus		03	03048	CERILLY	056.00491	684020.37	6609496.01	1975	2037	Oui	CENTRE VOIRIE CARRIERES DU BOCAGES BOURBONNAIS CARRIERES DU BOCAGES BOURBONNAIS HORY LUCILE HORY PIERRE	24 07 2037	Granite, granodiorite, etc	1975	2037	
72176	Les Plats		19	19114	LIGNAREIX	060.00483	646075.43	6501284.67	1973	2015	Oui	ETABLISSEMENTS JEAN FARGES VIALLEMONTEIL JEAN	20 11 2015	Gneiss	1973	2015	
72177	Les Bierges		03	03052	CHAMBLET	056.00495	680927.09	6581110.76	2003	2028	Oui	ALZIN	19 02 2028	Granite, granodiorite, etc	2003	2028	
72178	Les Sablons		03	03052	CHAMBLET	056.00494	677386.15	6580839.61	1975	2015	Oui	LAUVERGNE-COLLINET LAUVERGNE	01 04 2015	Roche volcanique	1975	2015	
72179	Les Bois de la Roderie, La Vigne		86	86172	MOUTERRE-SUR-BLOURDE	072.00962	526714.63	6572511.74	1973	2030	Oui	CARRIERES IRIBARREN M. IRIBARREN RAYMOND M. IRIBARREN EMILE	29 08 2030	Diorite	1973	2030	
72185	Maison Neuve et Pièces de Bailly		03	03067	CHATELPERRON	056.00504	750351.26	6586718.30	1999	2029	Oui	VIALLET MICHEL	23 06 2029	Cornéenne	1999	2029	
72186	Vallée Bonnin, La Pierre à Giboire		86	86188	PAYRE	072.00968	486189.21	6588591.30	1981	2037	Oui	BELLIN	11 12 2037	Roche calcaire	1981	2037	
72187	Les Mas		03	03070	CHAVENON	056.01220	696250.23	6591403.29	1990	2020	Oui	CONCASSAGE EXTRACT RECYCL FOURNITURES	24 08 2020	Granite, granodiorite, etc	1991	2020	
72190	Contrée de Razeure		03	03095	CUSSET	056.00520	739261.33	6560891.44	1996	2011	Oui	JALICOT	10 10 2011	Granite, granodiorite, etc	1996	2011	1 Internet
72191	Montedont, La Clavellerie, La Rapiette		86	86152	MAUPREVOIR	072.01748	506998.07	6569821.70	1973	2024	Oui	JEAN IRIBARREN TP M. IRIBARREN JEAN M. IRIBARREN FABIEN	27 10 2024	Roche calcaire	1973	2024	
72192	Jolan-Malavaux		03	03095	CUSSET	056.00517	737757.43	6559352.63	1974	2020	Oui	JALICOT LEBROU ET FILS	31 05 2020	Rhyolite	1974	2020	
72193	Puy Gérald		19	19117	LISSAC-SUR-COUZE	060.02682	579767.45	6445852.88	1973	2013	Oui	FLAMARY ENTREPRISE SIORAT ET CIE REYNIER GEORGES	22 03 2013	Roche calcaire	1973	2013	
72195	La Chataignerie		03	03095	CUSSET	056.00519	739024.16	6563043.69	2003	2033	Oui	MILLEREAU BAUD ANDRE	15 07 2033	Granite, granodiorite, etc	2003	2033	
72197	Les Malavaux		03	03095	CUSSET	056.00518	737958.06	6558750.63	1975	2034	Oui	GRANULATS BOURGOGNE AUVERGNE GRANULATS RHONE-BOURGOGNE REDLAND GRANULATS EST CARRIERES MONIN-MALAVAUX	29 06 1999	Rhyolite	1975	2034	
72198	Les Aubières, La Châtaigneraie	42287256400014	86	86190	PERSAC	072.00972	526262.85	6589349.31	1985	2012	Oui	CARRIERES IRIBARREN M. IRIBARREN RAYMOND	26 04 2012	Dolomie	1985	2012	
72202	Les Grandes Brandes du Greffe		86	86191	PINDRAY	072.01795	532213.66	6599958.31	1994	2014	Oui	RAYMOND IRIBARREN ET FILS	05 05 2014	Montmorillonite	1994	2014	
72207	Les Buttes Rouges		03	03189	MONTVICQ	056.00586	686078.44	6581509.00	1985	2015	Oui	LAUVERGNE-COLLINET	16 07 2015	Schiste	1985	2015	
72211	Champ Froid	39482907100015	19	19136	MEYMAC	060.00059	632456.56	6490082.46	1973	2020	Oui	AMENAGEMENTS TRAVAUX SERVICES DESMICHEL ET SES FILS	08 06 2020	Granite, granodiorite, etc	1973	2019	
72212	Le Garouilla		11	11398	TREILLES		697526.59	6202604.32	1995	1998	Non	GUINTOLI	16 06 1998	Roche calcaire	1995	1998	
72215	Pech-Peyrous		11	11264	NEVIAN		691440.03	6232267.17	1993	1997	Non	REDLAND GRANULATS SUD GARON	18 04 1997	Roche calcaire	1993	1997	
72219	Le Noireau, Le Haut de Treilles		86	86196	POUANCAY	072.00978	466554.26	6670348.68	1972	2010	Oui	CARRIERES DE LA MOTTE BOURBON GIRAULT ET CIE	28 02 2005	Roche calcaire	1972	2010	
72220	Coustades Est et les Caoudies		11	11145	FLEURY		714887.36	6237575.98	1986	1997	Non	BEC AUDE ET SOCA	17 03 1997	Roche calcaire	1986	1997	
72222	Grand Courdin et Les Beauvais		03	03202	NOYANT-D'ALLIER	164.00035	711822.32	6599742.45	1999	2029	Oui	JALICOT	26 04 2029	Granite, granodiorite, etc	1999	2029	1 discri
72223	Les Alberdières, Les Caves de Saint-Marc		86	86201	PRINCAY	072.01739	490578.12	6649394.36	1990	2020	Oui	CARRIERES DE VAYOLLES M. PIRONDEAU PIERRE	09 08 2000	Roche calcaire	1990	2020	
72226	Les Moulins		86	86213	ROUILLE	072.01749	473497.25	6590838.98	1973	2012	Oui	BELLIN	08 01 1980	Roche calcaire	1973	2012	
72229	Le Pont des Bouygues		19	19145	MOUSTIER-VENTADOUR	060.02197	631592.85	6476183.68	1981	2001	Non	SOCIETE EUROVIA SOCIETE COCHERY BOURDIN ET CHAUSSE ENTREPRISE SYLVAIN COUDERT ET FILS	26 01 2001	Granite, granodiorite, etc	1981	2000	
72233	Les Apentais		86	86227	SAINT-LAON	072.01746	470365.72	6655955.46	1996	2017	Oui	CARRIERES DE SAINT-LAON SOCIETE DES CARRIERES BAUDOIN (SNC) SOCIETE DES CARRIERES ET D'ENTREPRISE BAUDOIN	17 03 2017	Roche calcaire	1996	2017	
72235	Le Pouillau		86	86235	SAINT-MAURICE-LA-CLOUERE	072.01028	505225.20	6590095.78	1977	2022	Non	GSM MORILLON CORVOL M. ARLAUD PASCAL M. ARLAUD GEORGES	20 11 2009	Roche calcaire	1977	2009	
72237	Baudran		19	19147	NESPOULS	060.00067	581103.53	6438580.54	1973	2001	Oui	JAUBERTIE JEAN-PIERRE SOURZAC EDOUARD	16 03 2001	Roche calcaire	1973	2001	
72239	La Bergerie et le Domaine des Genins		03	03071	CHAVROCHES	056.00506	745180.73	6584577.52	1982	2003	Non	VICAT	04 06 1991	Roche calcaire	1982	2003	
72242	La Bergère		03	03206	LA PETITE-MARCHE	056.00598	664891.66	6564448.45	1977	2000	Non	COLLET ROGER	25 01 2000	Granite, granodiorite, etc	1977	2000	
72243	Combe Ronde		19	19147	NESPOULS		582163.45	6440084.87	1979	1994	Oui	SIMON RUIZ ROMAN	19 03 1994	Roche calcaire	1979	1993	
72246	Les Apprêts		03	03032	BLOMARD	056.01433	697491.15	6577850.70	2000	2003	Non	COMMUNE DE BLOMARD	20 03 2003	Granite, granodiorite, etc	2000	2002	
72251	Combe Derpras		19	19147	NESPOULS	060.00071	581330.77	6440140.14	1973	2030	Oui	SARL MARBRIÈRE DE FAVARS CONSTRUCTION COREB GRANGE JEAN FRANÇOIS DELMAS ANDRE	05 11 2030	Roche calcaire	1973	2030	
72255	La Patouille	42466170000015	19	19147	NESPOULS	060.00592	581617.15	6440330.08	1973	2016	Oui	PAROUTEAU PIERRES ET SERVICES PAROUTEAU ALFRED DA SILVA SERAPHIN CARRIERES ET TRAVAUX	20 12 2016	Roche calcaire	1973	2016	
72258	Las Plassas	35136823800017	19	19147	NESPOULS	060.00486	581135.21	6438445.30	1999	2004	Oui	CEROU PIERRE	23 03 2004	Roche calcaire	1999	2004	
72261	Les Pièces de la Bastière		86	86262	SILLARS	072.01728	530105.58	6591573.07	2000	2010	Oui	LAVAUX	30 03 2010	Dolomie	2000	2010	0 Internet EP
72263	Le grand Ranc		30	30046	BOUCOIRAN-ET-NOZIERES	066.00479	793750.93	6322145.63	1987	2017	Oui	LAUTIER BERNARD	15 05 2017	Roche calcaire	1987	2017	
72265	Terre Rouge		30	30343	VERFEUIL	066.00811	814717.28	6341938.12	1985	2039	Oui	CARMEUSE FRANCE PRODICAL GSM RHONES ALPES CALCIA SOCIETE D'EXPLOITATION DES CARRIERES ROBERT	05 06 2004	Roche calcaire	1974	2038	
72266	La Croix, Les Pièces du Querroux		86	86262	SILLARS	072.01694	529081.76	6594502.95	1981	2007	Non	LAVAUX LAVAUX PERE ET FILS LAVAUX-FRAGNER	29 11 2005	Dolomie	1981	2007	
72268	Roc Labrazie	42505425100011	19	19156	PALAZINGES	060.00080	596930.85	6452796.80	1987	2017	Oui	LES CARRIERES DE SOUBREBOST SARL CHAUMEIL ET FILS	16 12 2017	Leptynite	1988	2017	
72269	Plaine du Moulin des Dames		86	86263	SMARVES	072.01048	495519.77	6602882.07	1989	2006	Non	RAGONNEAU	14 06 2006	Roche calcaire	1989	2006	
72270	Bois de la grotte		30	30343	VERFEUIL	066.00810	813545.53	6339957.33	1994	2024	Oui	LUGAN SERGE	02 06 2024	Roche calcaire	1994	2023	
72271	La Garrigue		30	30338	VALLERARGUES	066.00798	806532.20	6336885.58	1978	2032	Oui	JOFFRE TRAVAUX PUBLICS SOCIETE SEYNOISE DE TRAVAUX AGRICOLES ET D'AMENAGEMENT FONCIERS JOFFRE FRERES	26 06 2032	Roche calcaire	1978	2032	
72272	Les Conquettes		30	30055	BROUZET-LES-ALES	066.00487	799497.31	6336792.55	1988	2018	Oui	CARRIERES DES CONQUETTES	21 09 2018	Roche calcaire	1988	2018	
